StockCode,StockName,Industry,細產業,Total_Hits,Avg_Net_Ratio,Ratio_10D,Ratio_Diff,Avg_Cost,End_Close,Cost_Spread,Avg_Ret_1D,Avg_Ret_2D,Avg_Ret_3D,Avg_Ret_5D,Avg_Ret_10D,20260223,20260224,20260225,20260226,20260302,20260303,20260304,20260305,20260306,20260309,Detailed_Info,Style_DT,Style_ON,Style_SW,Size_XS,Size_S,Size_M,Size_L
2330,台積電,半導體業,IC生產 專業晶圓代工 IC製造,7,0.57%,0.59%,-0.02%,1852.845220921768,1830.0,-1.23%,-2.81%,-6.63%,,,,,,"Hits:1 | Rat:0.0%
[BUY|SW|WR81%|5320高    橋_SW_L, 700G兆豐麻豆_SW_L]",,,,"Hits:6 | Rat:0.9%
[BUY|Mix|WR90%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
[BUY|Mix|WR75%|9233凱基長庚_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|989L元大成功_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]","Hits:3 | Rat:0.4%
[BUY|Mix|WR81%|5854統一城中_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|6620口 袋_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|9872元大復北_DT_L, 9B2w元富佳里_SW_L]",,"Hits:4 | Rat:0.7%
[SELL|Mix|WR90%|9254凱基科園_SW_L, 9B2r元富城東_ON_L]
[BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
[BUY|SW|WR81%|1021合庫台中_SW_L, 9B2l元富大裕_SW_L]
[BUY|SW|WR76%|9339華南竹北_SW_L, 9B2l元富大裕_SW_L]","20260225: [BUY|SW|WR81%|5320高    橋_SW_L, 700G兆豐麻豆_SW_L]
20260304: [BUY|Mix|WR90%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
20260304: [BUY|Mix|WR75%|9233凱基長庚_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR72%|989L元大成功_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]
20260305: [BUY|Mix|WR81%|5854統一城中_DT_L, 9B2w元富佳里_SW_L]
20260305: [BUY|Mix|WR81%|6620口 袋_DT_L, 9B2w元富佳里_SW_L]
20260305: [BUY|Mix|WR81%|9872元大復北_DT_L, 9B2w元富佳里_SW_L]
20260309: [SELL|Mix|WR90%|9254凱基科園_SW_L, 9B2r元富城東_ON_L]
20260309: [BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
20260309: [BUY|SW|WR81%|1021合庫台中_SW_L, 9B2l元富大裕_SW_L]
20260309: [BUY|SW|WR76%|9339華南竹北_SW_L, 9B2l元富大裕_SW_L]",4,1,9,0,0,0,14
3576,聯合再生,光電業,太陽能 太陽能電池 太陽能電池模組 太陽能系統運用,6,0.42%,-0.08%,0.50%,19.584688992035016,20.9,6.72%,-8.93%,-17.06%,,,,"Hits:2 | Rat:-6.0%
[SELL|ON|WR86%|980K元大竹科_ON_L, 9B2Z元富安南_ON_S]
[BUY|Mix|WR84%|9291凱基大安_ON_S, 9B2I元富嘉義_DT_M]","Hits:3 | Rat:4.7%
[BUY|ON|WR93%|9239凱基市政_ON_M, 9B2U元富宜蘭_ON_M]
[SELL|ON|WR83%|9369華南三重_ON_S, 9B2i元富中港_ON_S]
[BUY|Mix|WR71%|989j元大樹林_ON_M, 9B23元富三重_DT_XS]","Hits:3 | Rat:-0.6%
[SELL|ON|WR76%|8585聯邦三重_ON_S, 9B2l元富大裕_ON_M]
[BUY|Mix|WR76%|585W統一金門_ON_S, 9B21元富高雄_DT_M]
[SELL|Mix|WR75%|989L元大成功_ON_S, 9B2a元富松德_DT_L]",,"Hits:3 | Rat:0.2%
[BUY|Mix|WR91%|700B兆豐板橋_ON_M, 9B2H元富信義_SW_M]
[SELL|Mix|WR91%|884M玉山數位_ON_S, 9B2a元富松德_DT_L]
[BUY|Mix|WR76%|6382光和田中_DT_M, 9B2q元富屏東_SW_S]",,"Hits:1 | Rat:0.2%
[BUY|DT|WR81%|5263美好泰山_DT_L, 9B28元富新莊_DT_S]","Hits:3 | Rat:0.7%
[BUY|ON|WR84%|9328華南潮州_ON_M, 9B2Z元富安南_ON_M]
[BUY|Mix|WR75%|9204凱基台中_ON_S, 9B29元富台南_SW_M]
[BUY|Mix|WR75%|1111企銀台中_ON_S, 9B2v元富桃園_DT_M]","Hits:1 | Rat:-0.4%
[SELL|ON|WR75%|9352華南桃園_ON_M, 9B21元富高雄_ON_S]","Hits:2 | Rat:0.6%
[BUY|ON|WR85%|962C富邦竹科_ON_S, 9B2o元富新興_ON_M]
[BUY|Mix|WR75%|9204凱基台中_ON_S, 9B29元富台南_SW_M]","20260223: [SELL|ON|WR86%|980K元大竹科_ON_L, 9B2Z元富安南_ON_S]
20260223: [BUY|Mix|WR84%|9291凱基大安_ON_S, 9B2I元富嘉義_DT_M]
20260224: [BUY|ON|WR93%|9239凱基市政_ON_M, 9B2U元富宜蘭_ON_M]
20260224: [SELL|ON|WR83%|9369華南三重_ON_S, 9B2i元富中港_ON_S]
20260224: [BUY|Mix|WR71%|989j元大樹林_ON_M, 9B23元富三重_DT_XS]
20260225: [SELL|ON|WR76%|8585聯邦三重_ON_S, 9B2l元富大裕_ON_M]
20260225: [BUY|Mix|WR76%|585W統一金門_ON_S, 9B21元富高雄_DT_M]
20260225: [SELL|Mix|WR75%|989L元大成功_ON_S, 9B2a元富松德_DT_L]
20260302: [BUY|Mix|WR91%|700B兆豐板橋_ON_M, 9B2H元富信義_SW_M]
20260302: [SELL|Mix|WR91%|884M玉山數位_ON_S, 9B2a元富松德_DT_L]
20260302: [BUY|Mix|WR76%|6382光和田中_DT_M, 9B2q元富屏東_SW_S]
20260304: [BUY|DT|WR81%|5263美好泰山_DT_L, 9B28元富新莊_DT_S]
20260305: [BUY|ON|WR84%|9328華南潮州_ON_M, 9B2Z元富安南_ON_M]
20260305: [BUY|Mix|WR75%|9204凱基台中_ON_S, 9B29元富台南_SW_M]
20260305: [BUY|Mix|WR75%|1111企銀台中_ON_S, 9B2v元富桃園_DT_M]
20260306: [SELL|ON|WR75%|9352華南桃園_ON_M, 9B21元富高雄_ON_S]
20260309: [BUY|ON|WR85%|962C富邦竹科_ON_S, 9B2o元富新興_ON_M]
20260309: [BUY|Mix|WR75%|9204凱基台中_ON_S, 9B29元富台南_SW_M]",1,9,2,0,5,7,0
2338,光罩,半導體業,光罩 IC製造,4,0.21%,1.11%,-0.90%,52.2458545898591,47.6,-8.89%,-5.41%,-11.03%,,,,"Hits:1 | Rat:0.3%
[BUY|Mix|WR81%|1031土銀台中_SW_XS, 9816元大新竹_ON_L]",,"Hits:1 | Rat:5.5%
[BUY|Mix|WR90%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]",,"Hits:3 | Rat:0.0%
[BUY|Mix|WR81%|9862元大南京_SW_L, 9B2H元富信義_ON_L]
[SELL|Mix|WR81%|989Z元大小港_SW_L, 9B2S元富基隆_DT_S]
[SELL|ON|WR75%|1040臺    銀_ON_L, 9B2H元富信義_ON_L]","Hits:8 | Rat:0.7%
[BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR82%|9108群益海山_SW_M, 9B2H元富信義_ON_L]
[BUY|Mix|WR81%|9229凱基中山_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR75%|9233凱基長庚_SW_L, 9B2H元富信義_ON_L]
[SELL|Mix|WR72%|779E國票南崁_SW_M, 9B2H元富信義_ON_L]
[SELL|Mix|WR72%|989L元大成功_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|1114企銀嘉義_DT_M, 981U元大華山_SW_L]","Hits:10 | Rat:6.2%
[BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR81%|9862元大南京_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR81%|965K富邦台中_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|5384第一台南_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|6620口 袋_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|8710陽   信_DT_M, 9B2w元富佳里_SW_L]
[SELL|Mix|WR81%|9872元大復北_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|9A9X永豐竹科_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]","Hits:2 | Rat:-0.2%
[SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]
[BUY|SW|WR72%|884C玉山信義_SW_L, 9B2c元富烏日_SW_M]","Hits:1 | Rat:0.0%
[SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]","Hits:1 | Rat:1.6%
[BUY|SW|WR81%|1021合庫台中_SW_L, 9B2l元富大裕_SW_L]","20260223: [BUY|Mix|WR81%|1031土銀台中_SW_XS, 9816元大新竹_ON_L]
20260225: [BUY|Mix|WR90%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
20260302: [BUY|Mix|WR81%|9862元大南京_SW_L, 9B2H元富信義_ON_L]
20260302: [SELL|Mix|WR81%|989Z元大小港_SW_L, 9B2S元富基隆_DT_S]
20260302: [SELL|ON|WR75%|1040臺    銀_ON_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR82%|9108群益海山_SW_M, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR81%|9229凱基中山_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR75%|9233凱基長庚_SW_L, 9B2H元富信義_ON_L]
20260303: [SELL|Mix|WR72%|779E國票南崁_SW_M, 9B2H元富信義_ON_L]
20260303: [SELL|Mix|WR72%|989L元大成功_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR72%|1114企銀嘉義_DT_M, 981U元大華山_SW_L]
20260304: [BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR81%|9862元大南京_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR81%|965K富邦台中_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|5384第一台南_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|6620口 袋_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|8710陽   信_DT_M, 9B2w元富佳里_SW_L]
20260304: [SELL|Mix|WR81%|9872元大復北_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|9A9X永豐竹科_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]
20260305: [SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]
20260305: [BUY|SW|WR72%|884C玉山信義_SW_L, 9B2c元富烏日_SW_M]
20260306: [SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]
20260309: [BUY|SW|WR81%|1021合庫台中_SW_L, 9B2l元富大裕_SW_L]",0,4,4,0,0,1,7
2455,全新,通訊網路業,砷化鎵相關 光通訊元件磊晶 IC製造,3,-0.12%,-0.10%,-0.02%,206.24291751606808,196.0,-4.97%,-9.54%,-18.16%,,,,"Hits:2 | Rat:0.1%
[BUY|Mix|WR92%|9816元大新竹_ON_L, 9B2l元富大裕_SW_L]
[BUY|Mix|WR84%|9291凱基大安_ON_S, 9B2I元富嘉義_DT_M]",,,"Hits:1 | Rat:-0.3%
[SELL|Mix|WR72%|9A9R永豐信義_DT_L, 9B2Q元富敦南_ON_S]","Hits:1 | Rat:-0.3%
[SELL|Mix|WR100%|9624富邦竹北_DT_L, 9B27元富林園_ON_S]",,,"Hits:1 | Rat:-0.0%
[SELL|Mix|WR100%|9624富邦竹北_DT_L, 9B27元富林園_ON_S]","Hits:1 | Rat:0.5%
[BUY|ON|WR91%|700B兆豐板橋_ON_M, 9B2Z元富安南_ON_S]","Hits:1 | Rat:-1.3%
[SELL|ON|WR91%|700B兆豐板橋_ON_M, 9B2Z元富安南_ON_S]","20260223: [BUY|Mix|WR92%|9816元大新竹_ON_L, 9B2l元富大裕_SW_L]
20260223: [BUY|Mix|WR84%|9291凱基大安_ON_S, 9B2I元富嘉義_DT_M]
20260226: [SELL|Mix|WR72%|9A9R永豐信義_DT_L, 9B2Q元富敦南_ON_S]
20260302: [SELL|Mix|WR100%|9624富邦竹北_DT_L, 9B27元富林園_ON_S]
20260305: [SELL|Mix|WR100%|9624富邦竹北_DT_L, 9B27元富林園_ON_S]
20260306: [BUY|ON|WR91%|700B兆豐板橋_ON_M, 9B2Z元富安南_ON_S]
20260309: [SELL|ON|WR91%|700B兆豐板橋_ON_M, 9B2Z元富安南_ON_S]",1,5,0,0,3,2,1
2413,環科,電子零組件,電源供應器 變壓器 被動元件 電感 電子零件元件 電子製造服務 電腦系統業,3,0.30%,0.32%,-0.02%,53.48867235551946,46.0,-14.00%,-11.71%,,,,,"Hits:1 | Rat:-0.8%
[SELL|Mix|WR72%|5321高橋龍潭_DT_S, 983W元大德芳_ON_L]","Hits:1 | Rat:-0.4%
[SELL|ON|WR94%|9852元大永春_ON_L, 9B22元富新店_ON_M]",,"Hits:2 | Rat:0.3%
[BUY|ON|WR94%|9852元大永春_ON_L, 9B22元富新店_ON_M]
[BUY|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]","Hits:1 | Rat:-0.1%
[SELL|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]","Hits:3 | Rat:2.5%
[BUY|Mix|WR83%|9326華南南京_ON_L, 9B2l元富大裕_SW_L]
[BUY|SW|WR81%|1021合庫台中_SW_L, 9B2l元富大裕_SW_L]
[BUY|SW|WR76%|961K富邦七賢_SW_M, 9B2l元富大裕_SW_L]",,,"Hits:3 | Rat:0.3%
[BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
[SELL|Mix|WR81%|9838元大豐原_DT_L, 9B21元富高雄_ON_S]
[BUY|SW|WR81%|1021合庫台中_SW_L, 9B2l元富大裕_SW_L]",,"20260223: [SELL|Mix|WR72%|5321高橋龍潭_DT_S, 983W元大德芳_ON_L]
20260224: [SELL|ON|WR94%|9852元大永春_ON_L, 9B22元富新店_ON_M]
20260226: [BUY|ON|WR94%|9852元大永春_ON_L, 9B22元富新店_ON_M]
20260226: [BUY|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]
20260302: [SELL|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]
20260303: [BUY|Mix|WR83%|9326華南南京_ON_L, 9B2l元富大裕_SW_L]
20260303: [BUY|SW|WR81%|1021合庫台中_SW_L, 9B2l元富大裕_SW_L]
20260303: [BUY|SW|WR76%|961K富邦七賢_SW_M, 9B2l元富大裕_SW_L]
20260306: [BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
20260306: [SELL|Mix|WR81%|9838元大豐原_DT_L, 9B21元富高雄_ON_S]
20260306: [BUY|SW|WR81%|1021合庫台中_SW_L, 9B2l元富大裕_SW_L]",2,1,3,0,1,0,5
6831,邁科,電腦及週邊設備業,,3,-1.33%,-0.98%,-0.36%,329.26242300381585,272.5,-17.24%,-10.29%,-19.62%,,,,,"Hits:1 | Rat:0.6%
[BUY|SW|WR81%|982F元大忠鼎_SW_S, 9B2q元富屏東_SW_M]",,,,,,"Hits:1 | Rat:-2.0%
[SELL|ON|WR86%|980K元大竹科_ON_L, 9B2Z元富安南_ON_S]","Hits:2 | Rat:-0.7%
[SELL|Mix|WR76%|585W統一金門_ON_S, 9B21元富高雄_DT_M]
[BUY|Mix|WR72%|9A9Z永豐復興_ON_M, 9B2c元富烏日_SW_M]",,"20260224: [BUY|SW|WR81%|982F元大忠鼎_SW_S, 9B2q元富屏東_SW_M]
20260305: [SELL|ON|WR86%|980K元大竹科_ON_L, 9B2Z元富安南_ON_S]
20260306: [SELL|Mix|WR76%|585W統一金門_ON_S, 9B21元富高雄_DT_M]
20260306: [BUY|Mix|WR72%|9A9Z永豐復興_ON_M, 9B2c元富烏日_SW_M]",1,4,1,0,2,3,1
6152,百一,通訊網路業,通訊設備 低雜訊降頻器 視訊轉換相關 消費性電子產品,3,-0.03%,0.74%,-0.76%,20.36138888888889,18.7,-8.16%,-7.32%,-14.22%,,,,,"Hits:1 | Rat:0.3%
[BUY|Mix|WR92%|1650瑞銀_ON_M, 9B2I元富嘉義_DT_M]",,,,"Hits:1 | Rat:0.7%
[BUY|Mix|WR84%|9A98永豐大園_DT_XS, 9B2H元富信義_ON_M]","Hits:1 | Rat:3.6%
[BUY|Mix|WR84%|9A98永豐大園_DT_XS, 9B2H元富信義_ON_M]","Hits:1 | Rat:-0.1%
[SELL|Mix|WR84%|9291凱基大安_ON_S, 9B2I元富嘉義_DT_M]","Hits:1 | Rat:-0.2%
[SELL|ON|WR92%|9A9q永豐潮州_ON_S, 9B2B元富永和_ON_S]","Hits:1 | Rat:0.5%
[BUY|Mix|WR87%|9B23元富三重_DT_XS, 9B25元富台中_SW_M]","20260224: [BUY|Mix|WR92%|1650瑞銀_ON_M, 9B2I元富嘉義_DT_M]
20260303: [BUY|Mix|WR84%|9A98永豐大園_DT_XS, 9B2H元富信義_ON_M]
20260304: [BUY|Mix|WR84%|9A98永豐大園_DT_XS, 9B2H元富信義_ON_M]
20260305: [SELL|Mix|WR84%|9291凱基大安_ON_S, 9B2I元富嘉義_DT_M]
20260306: [SELL|ON|WR92%|9A9q永豐潮州_ON_S, 9B2B元富永和_ON_S]
20260309: [BUY|Mix|WR87%|9B23元富三重_DT_XS, 9B25元富台中_SW_M]",2,3,1,1,3,2,0
1717,長興,化學工業,合成樹脂 化學工業 電子化工材料,3,-0.14%,-0.06%,-0.09%,61.513583994328,58.6,-4.74%,-9.43%,,,,,"Hits:1 | Rat:0.1%
[BUY|Mix|WR85%|918B群益板橋_SW_S, 9B28元富新莊_ON_S]",,,,,,,,"Hits:2 | Rat:-0.3%
[SELL|Mix|WR81%|9134群益開元_DT_M, 9B23元富三重_ON_XS]
[BUY|DT|WR81%|5962日茂南投_DT_M, 9275凱基三多_DT_XS]","Hits:1 | Rat:0.0%
[BUY|ON|WR81%|980a元大中北_ON_S, 9B2S元富基隆_ON_S]","20260223: [BUY|Mix|WR85%|918B群益板橋_SW_S, 9B28元富新莊_ON_S]
20260306: [SELL|Mix|WR81%|9134群益開元_DT_M, 9B23元富三重_ON_XS]
20260306: [BUY|DT|WR81%|5962日茂南投_DT_M, 9275凱基三多_DT_XS]
20260309: [BUY|ON|WR81%|980a元大中北_ON_S, 9B2S元富基隆_ON_S]",3,3,0,2,2,2,0
0050,元大台灣50,-,,3,0.28%,0.27%,0.01%,75.76599360830343,76.7,1.23%,-1.46%,-2.91%,,,,,,,,"Hits:1 | Rat:0.2%
[BUY|SW|WR72%|884C玉山信義_SW_L, 9B2c元富烏日_SW_M]",,"Hits:1 | Rat:0.3%
[BUY|SW|WR72%|884C玉山信義_SW_L, 9B2c元富烏日_SW_M]","Hits:1 | Rat:0.2%
[BUY|SW|WR72%|884C玉山信義_SW_L, 9B2c元富烏日_SW_M]","Hits:1 | Rat:0.1%
[BUY|ON|WR93%|9239凱基市政_ON_M, 9B2U元富宜蘭_ON_M]","Hits:1 | Rat:0.4%
[BUY|SW|WR81%|1021合庫台中_SW_L, 9B2l元富大裕_SW_L]","20260302: [BUY|SW|WR72%|884C玉山信義_SW_L, 9B2c元富烏日_SW_M]
20260304: [BUY|SW|WR72%|884C玉山信義_SW_L, 9B2c元富烏日_SW_M]
20260305: [BUY|SW|WR72%|884C玉山信義_SW_L, 9B2c元富烏日_SW_M]
20260306: [BUY|ON|WR93%|9239凱基市政_ON_M, 9B2U元富宜蘭_ON_M]
20260309: [BUY|SW|WR81%|1021合庫台中_SW_L, 9B2l元富大裕_SW_L]",0,2,4,0,0,3,3
2402,毅嘉,電子零組件,其他電子零件 電子零件元件 軟板 印刷電路板相關,3,-0.99%,0.17%,-1.16%,57.7247366068578,48.7,-15.63%,-6.88%,,,,,,,,,,"Hits:2 | Rat:0.3%
[BUY|Mix|WR72%|9A9Q永豐豐原_ON_M, 9B2E元富城中_DT_S]
[BUY|Mix|WR71%|6012?亞網路_SW_S, 6910德    信_DT_L]",,,"Hits:3 | Rat:-1.0%
[SELL|Mix|WR91%|9A61永豐鳳山_ON_XS, 9B2I元富嘉義_DT_M]
[SELL|Mix|WR84%|9A98永豐大園_DT_XS, 9B2H元富信義_ON_M]
[SELL|ON|WR77%|9838元大豐原_ON_S, 9B2H元富信義_ON_M]",,"20260303: [BUY|Mix|WR72%|9A9Q永豐豐原_ON_M, 9B2E元富城中_DT_S]
20260303: [BUY|Mix|WR71%|6012?亞網路_SW_S, 6910德    信_DT_L]
20260306: [SELL|Mix|WR91%|9A61永豐鳳山_ON_XS, 9B2I元富嘉義_DT_M]
20260306: [SELL|Mix|WR84%|9A98永豐大園_DT_XS, 9B2H元富信義_ON_M]
20260306: [SELL|ON|WR77%|9838元大豐原_ON_S, 9B2H元富信義_ON_M]",2,4,0,2,1,3,0
