StockCode,StockName,Industry,細產業,Total_Hits,Avg_Net_Ratio,Ratio_10D,Ratio_Diff,Avg_Cost,End_Close,Cost_Spread,Avg_Ret_1D,Avg_Ret_2D,Avg_Ret_3D,Avg_Ret_5D,Avg_Ret_10D,20260224,20260225,20260226,20260302,20260303,20260304,20260305,20260306,20260309,20260310,Detailed_Info,Style_DT,Style_ON,Style_SW,Size_XS,Size_S,Size_M,Size_L
2330,台積電,半導體業,IC生產 專業晶圓代工 IC製造,5,0.32%,0.43%,-0.11%,1854.807098200008,1890.0,1.90%,3.23%,3.94%,4.64%,,,,"Hits:1 | Rat:0.0%
[BUY|SW|WR81%|5320高    橋_SW_L, 700G兆豐麻豆_SW_L]",,,,"Hits:6 | Rat:1.0%
[BUY|Mix|WR83%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
[BUY|Mix|WR81%|9831元大四維_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
[BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
[BUY|ON|WR72%|9272凱基竹科_ON_L, 9B2H元富信義_ON_L]","Hits:1 | Rat:0.2%
[BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]",,"Hits:3 | Rat:0.4%
[SELL|Mix|WR90%|9254凱基科園_SW_L, 9B2r元富城東_ON_L]
[BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
[BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]","Hits:2 | Rat:0.2%
[BUY|SW|WR90%|9283凱基北門_SW_L, 9B2l元富大裕_SW_L]
[BUY|Mix|WR90%|9255凱基和平_ON_L, 9283凱基北門_SW_L]","20260225: [BUY|SW|WR81%|5320高    橋_SW_L, 700G兆豐麻豆_SW_L]
20260304: [BUY|Mix|WR83%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
20260304: [BUY|Mix|WR81%|9831元大四維_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
20260304: [BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|ON|WR72%|9272凱基竹科_ON_L, 9B2H元富信義_ON_L]
20260305: [BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
20260309: [SELL|Mix|WR90%|9254凱基科園_SW_L, 9B2r元富城東_ON_L]
20260309: [BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
20260309: [BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
20260310: [BUY|SW|WR90%|9283凱基北門_SW_L, 9B2l元富大裕_SW_L]
20260310: [BUY|Mix|WR90%|9255凱基和平_ON_L, 9283凱基北門_SW_L]",2,3,5,0,0,0,10
3535,晶彩科,光電業,設備儀器廠商 面板設備,4,0.39%,0.10%,0.29%,129.52969746819525,146.0,12.72%,-2.23%,-5.81%,-7.07%,,,,"Hits:1 | Rat:0.2%
[BUY|Mix|WR91%|9692富邦嘉義_SW_L, 9B2G元富新竹_ON_S]",,,,"Hits:1 | Rat:0.2%
[BUY|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]","Hits:2 | Rat:-0.8%
[SELL|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]
[SELL|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]","Hits:1 | Rat:0.2%
[BUY|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]",,"Hits:3 | Rat:0.5%
[BUY|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
[BUY|DT|WR81%|585B統一永和_DT_S, 9B2X元富草屯_DT_L]
[BUY|DT|WR75%|585B統一永和_DT_S, 9B2l元富大裕_DT_L]","20260225: [BUY|Mix|WR91%|9692富邦嘉義_SW_L, 9B2G元富新竹_ON_S]
20260304: [BUY|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]
20260305: [SELL|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]
20260305: [SELL|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
20260306: [BUY|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
20260310: [BUY|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
20260310: [BUY|DT|WR81%|585B統一永和_DT_S, 9B2X元富草屯_DT_L]
20260310: [BUY|DT|WR75%|585B統一永和_DT_S, 9B2l元富大裕_DT_L]",6,0,2,0,2,2,4
2338,光罩,半導體業,光罩 IC製造,3,-1.66%,0.75%,-2.41%,51.31014888345896,47.65,-7.13%,-5.04%,-2.37%,-10.29%,,,,"Hits:2 | Rat:11.2%
[BUY|Mix|WR83%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|538F第一稻埕_SW_M, 9B2H元富信義_ON_L]",,"Hits:1 | Rat:-0.1%
[SELL|Mix|WR81%|989Z元大小港_SW_L, 9B2S元富基隆_DT_S]","Hits:5 | Rat:0.5%
[BUY|Mix|WR75%|9229凱基中山_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|918u群益瑞豐_SW_L, 9B2H元富信義_ON_L]
[SELL|Mix|WR72%|538F第一稻埕_SW_M, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|1114企銀嘉義_DT_M, 981U元大華山_SW_L]","Hits:2 | Rat:1.2%
[BUY|Mix|WR81%|8710陽   信_DT_M, 9B2w元富佳里_SW_L]
[BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]","Hits:2 | Rat:0.5%
[BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
[SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]","Hits:1 | Rat:0.0%
[SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]",,"Hits:2 | Rat:-2.6%
[SELL|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
[SELL|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]","20260225: [BUY|Mix|WR83%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
20260225: [BUY|Mix|WR72%|538F第一稻埕_SW_M, 9B2H元富信義_ON_L]
20260302: [SELL|Mix|WR81%|989Z元大小港_SW_L, 9B2S元富基隆_DT_S]
20260303: [BUY|Mix|WR75%|9229凱基中山_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR72%|918u群益瑞豐_SW_L, 9B2H元富信義_ON_L]
20260303: [SELL|Mix|WR72%|538F第一稻埕_SW_M, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR72%|1114企銀嘉義_DT_M, 981U元大華山_SW_L]
20260304: [BUY|Mix|WR81%|8710陽   信_DT_M, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260305: [BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
20260305: [SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]
20260306: [SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]
20260310: [SELL|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
20260310: [SELL|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]",2,4,0,0,0,0,6
4977,眾達-KY,通訊網路業,光通訊 光纖主動元件,2,-0.12%,0.04%,-0.16%,154.00951327433629,159.5,3.57%,3.57%,7.79%,14.61%,,,,"Hits:1 | Rat:0.1%
[BUY|DT|WR73%|6910德    信_DT_L, 9283凱基北門_DT_S]",,,,,,,"Hits:2 | Rat:-0.1%
[BUY|Mix|WR85%|920A凱基板橋_ON_S, 9B2n元富西松_SW_XS]
[SELL|Mix|WR72%|585U統一南京_ON_S, 9B2n元富西松_SW_XS]",,"20260225: [BUY|DT|WR73%|6910德    信_DT_L, 9283凱基北門_DT_S]
20260309: [BUY|Mix|WR85%|920A凱基板橋_ON_S, 9B2n元富西松_SW_XS]
20260309: [SELL|Mix|WR72%|585U統一南京_ON_S, 9B2n元富西松_SW_XS]",0,2,2,2,2,0,0
2413,環科,電子零組件,電源供應器 變壓器 被動元件 電感 電子零件元件 電子製造服務 電腦系統業,2,0.00%,0.03%,-0.03%,54.94863703022112,47.8,-13.01%,-11.71%,-8.25%,-4.03%,,,"Hits:1 | Rat:-0.4%
[SELL|ON|WR94%|9852元大永春_ON_L, 9B22元富新店_ON_M]",,"Hits:2 | Rat:0.3%
[BUY|ON|WR94%|9852元大永春_ON_L, 9B22元富新店_ON_M]
[BUY|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]","Hits:1 | Rat:-0.1%
[SELL|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]",,,,"Hits:2 | Rat:0.0%
[BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
[SELL|Mix|WR81%|9838元大豐原_DT_L, 9B21元富高雄_ON_S]",,,"20260224: [SELL|ON|WR94%|9852元大永春_ON_L, 9B22元富新店_ON_M]
20260226: [BUY|ON|WR94%|9852元大永春_ON_L, 9B22元富新店_ON_M]
20260226: [BUY|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]
20260302: [SELL|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]
20260306: [BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
20260306: [SELL|Mix|WR81%|9838元大豐原_DT_L, 9B21元富高雄_ON_S]",2,1,1,0,1,0,3
3576,聯合再生,光電業,太陽能 太陽能電池 太陽能電池模組 太陽能系統運用,2,0.19%,0.38%,-0.20%,20.43047345108033,21.5,5.23%,2.02%,7.61%,14.35%,,,"Hits:1 | Rat:2.6%
[BUY|Mix|WR71%|989j元大樹林_ON_M, 9B23元富三重_DT_XS]","Hits:2 | Rat:-1.0%
[SELL|Mix|WR81%|6163中信託永_ON_S, 9B2a元富松德_DT_L]
[SELL|Mix|WR75%|989L元大成功_ON_S, 9B2a元富松德_DT_L]",,"Hits:2 | Rat:0.0%
[BUY|Mix|WR84%|700B兆豐板橋_ON_M, 9B2H元富信義_SW_M]
[SELL|Mix|WR81%|6163中信託永_ON_S, 9B2a元富松德_DT_L]",,"Hits:1 | Rat:0.2%
[BUY|DT|WR81%|5263美好泰山_DT_L, 9B28元富新莊_DT_S]",,,"Hits:1 | Rat:0.2%
[BUY|Mix|WR72%|1111企銀台中_ON_S, 9B2N元富虎尾_SW_S]","Hits:1 | Rat:0.2%
[BUY|Mix|WR72%|700I兆豐北高_DT_S, 9B2Z元富安南_ON_M]","20260224: [BUY|Mix|WR71%|989j元大樹林_ON_M, 9B23元富三重_DT_XS]
20260225: [SELL|Mix|WR81%|6163中信託永_ON_S, 9B2a元富松德_DT_L]
20260225: [SELL|Mix|WR75%|989L元大成功_ON_S, 9B2a元富松德_DT_L]
20260302: [BUY|Mix|WR84%|700B兆豐板橋_ON_M, 9B2H元富信義_SW_M]
20260302: [SELL|Mix|WR81%|6163中信託永_ON_S, 9B2a元富松德_DT_L]
20260304: [BUY|DT|WR81%|5263美好泰山_DT_L, 9B28元富新莊_DT_S]
20260309: [BUY|Mix|WR72%|1111企銀台中_ON_S, 9B2N元富虎尾_SW_S]
20260310: [BUY|Mix|WR72%|700I兆豐北高_DT_S, 9B2Z元富安南_ON_M]",1,2,1,0,3,1,0
00632R,元大台灣50反1,-,,2,-0.60%,-0.60%,0.00%,14.457032260983668,14.68,1.54%,1.23%,-0.27%,-0.21%,,,,,,,,,,"Hits:1 | Rat:-6.7%
[SELL|Mix|WR75%|7007兆豐竹北_ON_L, 9312華南民權_SW_S]",,"Hits:1 | Rat:2.7%
[BUY|Mix|WR75%|6910德    信_DT_L, 9B2P元富同大_SW_M]","20260306: [SELL|Mix|WR75%|7007兆豐竹北_ON_L, 9312華南民權_SW_S]
20260310: [BUY|Mix|WR75%|6910德    信_DT_L, 9B2P元富同大_SW_M]",1,1,2,0,1,1,2
1717,長興,化學工業,合成樹脂 化學工業 電子化工材料,2,-0.17%,-0.17%,0.00%,60.85940471997182,59.8,-1.74%,-3.69%,0.91%,5.85%,,,,,,,,,,"Hits:1 | Rat:-0.4%
[SELL|Mix|WR81%|9134群益開元_DT_M, 9B23元富三重_ON_XS]","Hits:1 | Rat:0.0%
[BUY|ON|WR81%|980a元大中北_ON_S, 9B2S元富基隆_ON_S]",,"20260306: [SELL|Mix|WR81%|9134群益開元_DT_M, 9B23元富三重_ON_XS]
20260309: [BUY|ON|WR81%|980a元大中北_ON_S, 9B2S元富基隆_ON_S]",1,3,0,1,2,1,0
00642U,期元大S&P石油,-,,2,0.82%,0.82%,0.00%,22.45246272298936,24.0,6.89%,-5.54%,6.75%,,,,,,,,,,,,,"Hits:2 | Rat:0.8%
[BUY|Mix|WR84%|8583聯邦忠孝_ON_S, 9B2z元富文心_SW_M]
[BUY|Mix|WR83%|8583聯邦忠孝_ON_S, 9B2I元富嘉義_DT_M]","20260310: [BUY|Mix|WR84%|8583聯邦忠孝_ON_S, 9B2z元富文心_SW_M]
20260310: [BUY|Mix|WR83%|8583聯邦忠孝_ON_S, 9B2I元富嘉義_DT_M]",1,2,1,0,2,2,0
4916,事欣科,電腦及週邊設備業,航天軍工 航天機械零組件 工業電腦 遊戲產業 商用遊戲機 電腦系統業,2,-0.04%,-0.04%,0.00%,62.28823529411765,58.8,-5.60%,-9.49%,-6.96%,-3.96%,,,,,,,,,,"Hits:2 | Rat:-0.0%
[SELL|ON|WR72%|9349華南板橋_ON_S, 9B23元富三重_ON_XS]
[SELL|DT|WR72%|7036致和高雄_DT_S, 9B2q元富屏東_DT_XS]",,,"20260306: [SELL|ON|WR72%|9349華南板橋_ON_S, 9B23元富三重_ON_XS]
20260306: [SELL|DT|WR72%|7036致和高雄_DT_S, 9B2q元富屏東_DT_XS]",2,2,0,2,2,0,0
