StockCode,StockName,Industry,細產業,Total_Hits,Avg_Net_Ratio,Ratio_10D,Ratio_Diff,Avg_Cost,End_Close,Cost_Spread,Avg_Ret_1D,Avg_Ret_2D,Avg_Ret_3D,Avg_Ret_5D,Avg_Ret_10D,20260224,20260225,20260226,20260302,20260303,20260304,20260305,20260306,20260309,20260310,Detailed_Info,Style_DT,Style_ON,Style_SW,Size_XS,Size_S,Size_M,Size_L
3535,晶彩科,光電業,設備儀器廠商 面板設備,2,0.32%,0.22%,0.10%,137.19135802469137,146.0,6.42%,-2.23%,-5.81%,-7.07%,,,,,,,,,"Hits:1 | Rat:-0.0%
[SELL|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]","Hits:1 | Rat:0.2%
[BUY|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]",,"Hits:1 | Rat:0.4%
[BUY|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]","20260305: [SELL|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
20260306: [BUY|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
20260310: [BUY|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]",2,0,2,0,0,2,2
3019,亞光,光電業,傳產其他 光學 影像感測元件 數位相機 數位相機組裝 光學鏡片/頭,1,0.41%,0.37%,0.03%,134.28735632183907,127.0,-5.43%,-8.49%,-6.27%,-0.37%,,,,,,,,"Hits:1 | Rat:0.4%
[BUY|Mix|WR81%|700P兆豐南京_SW_L, 9B2S元富基隆_DT_M]",,"Hits:1 | Rat:0.4%
[BUY|Mix|WR72%|9296凱基頭份_SW_XS, 9B2b元富板橋_ON_M]",,,"20260304: [BUY|Mix|WR81%|700P兆豐南京_SW_L, 9B2S元富基隆_DT_M]
20260306: [BUY|Mix|WR72%|9296凱基頭份_SW_XS, 9B2b元富板橋_ON_M]",0,1,1,1,0,1,0
1717,長興,化學工業,合成樹脂 化學工業 電子化工材料,1,-0.36%,-0.36%,0.00%,62.87145534041224,59.8,-4.89%,-9.43%,-7.57%,-0.93%,,,,,,,,,,"Hits:1 | Rat:-0.4%
[SELL|Mix|WR72%|9134群益開元_DT_M, 9B23元富三重_ON_XS]",,,"20260306: [SELL|Mix|WR72%|9134群益開元_DT_M, 9B23元富三重_ON_XS]",1,1,0,1,0,1,0
4916,事欣科,電腦及週邊設備業,航天軍工 航天機械零組件 工業電腦 遊戲產業 商用遊戲機 電腦系統業,1,0.00%,0.00%,0.00%,61.9,58.8,-5.01%,-9.49%,-6.96%,-3.96%,,,,,,,,,,"Hits:1 | Rat:0.0%
[SELL|ON|WR72%|9349華南板橋_ON_S, 9B23元富三重_ON_XS]",,,"20260306: [SELL|ON|WR72%|9349華南板橋_ON_S, 9B23元富三重_ON_XS]",0,2,0,1,1,0,0
6442,光聖,通訊網路業,連接器 電子零件元件 光通訊 光纖主動元件 光纖被動元件,1,0.09%,0.09%,0.00%,2010.9824315585256,1780.0,-11.49%,-17.79%,-14.42%,-11.06%,,,,,,,,,,"Hits:1 | Rat:0.1%
[BUY|Mix|WR78%|6489福邦新竹_DT_M, 9B25元富台中_ON_M]",,,"20260306: [BUY|Mix|WR78%|6489福邦新竹_DT_M, 9B25元富台中_ON_M]",1,1,0,0,0,2,0
1711,永光,化學工業,染料，顏料 化學工業 其他化工產品 光阻劑 電子化工材料,1,-0.02%,-0.02%,0.00%,27.523529411764702,26.55,-3.54%,-6.54%,-6.18%,-1.06%,,,,,,,,,,"Hits:1 | Rat:-0.0%
[SELL|Mix|WR72%|526A美好中和_DT_XS, 585W統一金門_ON_S]",,,"20260306: [SELL|Mix|WR72%|526A美好中和_DT_XS, 585W統一金門_ON_S]",1,1,0,1,1,0,0
3138,耀登,通訊網路業,檢測驗證服務 通訊設備 天線 設備儀器廠商 量測儀器,1,-0.94%,-0.94%,0.00%,162.50248756218906,175.0,7.69%,2.94%,7.94%,15.00%,,,,,,,,,,,"Hits:1 | Rat:-0.9%
[SELL|ON|WR72%|9349華南板橋_ON_S, 9B23元富三重_ON_XS]",,"20260309: [SELL|ON|WR72%|9349華南板橋_ON_S, 9B23元富三重_ON_XS]",0,2,0,1,1,0,0
00642U,期元大S&P石油,-,,1,0.76%,0.76%,0.00%,22.38144187433722,24.0,7.23%,-5.54%,6.75%,,,,,,,,,,,,,"Hits:1 | Rat:0.8%
[BUY|Mix|WR76%|8583聯邦忠孝_ON_S, 9B2z元富文心_SW_M]","20260310: [BUY|Mix|WR76%|8583聯邦忠孝_ON_S, 9B2z元富文心_SW_M]",0,1,1,0,1,1,0
2408,南亞科,半導體業,DRAM IC生產 IC製造,1,0.49%,0.49%,0.00%,220.04676584637204,231.0,4.98%,9.96%,13.20%,,,,,,,,,,,,,"Hits:1 | Rat:0.5%
[BUY|DT|WR72%|8456康和新竹_DT_L, 9B27元富林園_DT_M]","20260310: [BUY|DT|WR72%|8456康和新竹_DT_L, 9B27元富林園_DT_M]",2,0,0,0,0,1,1
6152,百一,通訊網路業,通訊設備 低雜訊降頻器 視訊轉換相關 消費性電子產品,1,1.09%,1.09%,0.00%,18.70625,20.0,6.92%,-2.50%,3.25%,,,,,,,,,,,,,"Hits:1 | Rat:1.1%
[BUY|Mix|WR81%|918E群益南京_DT_M, 9B23元富三重_ON_XS]","20260310: [BUY|Mix|WR81%|918E群益南京_DT_M, 9B23元富三重_ON_XS]",1,1,0,1,0,1,0
