StockCode,StockName,Industry,細產業,Total_Hits,Avg_Net_Ratio,Ratio_10D,Ratio_Diff,Avg_Cost,End_Close,Cost_Spread,Avg_Ret_1D,Avg_Ret_2D,Avg_Ret_3D,Avg_Ret_5D,Avg_Ret_10D,20260226,20260302,20260303,20260304,20260305,20260306,20260309,20260310,20260311,20260312,Detailed_Info,Style_DT,Style_ON,Style_SW,Size_XS,Size_S,Size_M,Size_L
2330,台積電,半導體業,IC生產 專業晶圓代工 IC製造,7,0.26%,0.48%,-0.22%,1865.136570919737,1915.0,2.67%,0.69%,1.32%,,,,,,,"Hits:6 | Rat:1.0%
[BUY|Mix|WR83%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
[BUY|Mix|WR81%|9831元大四維_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
[BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
[BUY|ON|WR72%|9272凱基竹科_ON_L, 9B2H元富信義_ON_L]","Hits:1 | Rat:0.2%
[BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]",,"Hits:3 | Rat:0.4%
[SELL|Mix|WR90%|9254凱基科園_SW_L, 9B2r元富城東_ON_L]
[BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
[BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]","Hits:2 | Rat:0.2%
[BUY|SW|WR90%|9283凱基北門_SW_L, 9B2l元富大裕_SW_L]
[BUY|Mix|WR90%|9255凱基和平_ON_L, 9283凱基北門_SW_L]","Hits:5 | Rat:0.3%
[BUY|Mix|WR92%|9816元大新竹_ON_L, 9B2l元富大裕_SW_L]
[BUY|Mix|WR90%|9211凱基台南_ON_L, 9B2l元富大裕_SW_L]
[BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
[BUY|Mix|WR78%|9859元大經國_ON_L, 9B2l元富大裕_SW_L]
[BUY|Mix|WR76%|9634富邦羅東_ON_L, 9B2l元富大裕_SW_L]",,"20260304: [BUY|Mix|WR83%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
20260304: [BUY|Mix|WR81%|9831元大四維_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
20260304: [BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|ON|WR72%|9272凱基竹科_ON_L, 9B2H元富信義_ON_L]
20260305: [BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
20260309: [SELL|Mix|WR90%|9254凱基科園_SW_L, 9B2r元富城東_ON_L]
20260309: [BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
20260309: [BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
20260310: [BUY|SW|WR90%|9283凱基北門_SW_L, 9B2l元富大裕_SW_L]
20260310: [BUY|Mix|WR90%|9255凱基和平_ON_L, 9283凱基北門_SW_L]
20260311: [BUY|Mix|WR92%|9816元大新竹_ON_L, 9B2l元富大裕_SW_L]
20260311: [BUY|Mix|WR90%|9211凱基台南_ON_L, 9B2l元富大裕_SW_L]
20260311: [BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
20260311: [BUY|Mix|WR78%|9859元大經國_ON_L, 9B2l元富大裕_SW_L]
20260311: [BUY|Mix|WR76%|9634富邦羅東_ON_L, 9B2l元富大裕_SW_L]",1,5,8,0,0,0,14
3535,晶彩科,光電業,設備儀器廠商 面板設備,6,0.29%,0.13%,0.16%,134.50195880046465,131.5,-2.23%,-5.09%,-9.93%,,,,,,,"Hits:1 | Rat:0.2%
[BUY|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]","Hits:2 | Rat:-0.8%
[SELL|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]
[SELL|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]","Hits:1 | Rat:0.2%
[BUY|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]",,"Hits:3 | Rat:0.5%
[BUY|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
[BUY|DT|WR81%|585B統一永和_DT_S, 9B2X元富草屯_DT_L]
[BUY|DT|WR75%|585B統一永和_DT_S, 9B2l元富大裕_DT_L]","Hits:2 | Rat:0.1%
[BUY|DT|WR81%|585B統一永和_DT_S, 9B2X元富草屯_DT_L]
[BUY|DT|WR75%|585B統一永和_DT_S, 9B2l元富大裕_DT_L]","Hits:1 | Rat:0.3%
[BUY|DT|WR75%|585B統一永和_DT_S, 9B2l元富大裕_DT_L]","20260304: [BUY|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]
20260305: [SELL|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]
20260305: [SELL|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
20260306: [BUY|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
20260310: [BUY|Mix|WR81%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
20260310: [BUY|DT|WR81%|585B統一永和_DT_S, 9B2X元富草屯_DT_L]
20260310: [BUY|DT|WR75%|585B統一永和_DT_S, 9B2l元富大裕_DT_L]
20260311: [BUY|DT|WR81%|585B統一永和_DT_S, 9B2X元富草屯_DT_L]
20260311: [BUY|DT|WR75%|585B統一永和_DT_S, 9B2l元富大裕_DT_L]
20260312: [BUY|DT|WR75%|585B統一永和_DT_S, 9B2l元富大裕_DT_L]",11,0,1,0,5,1,6
2312,金寶,其他電子業,車用電子 桌上型電腦 筆記型電腦製造 通訊設備 手機 手機製造 視訊轉換相關 消費性電子產品 週邊產品 印表機 3D印表機 硬碟相關 POS機系統 穿戴式裝置 電子製造服務 電腦系統業 家電,4,0.12%,0.02%,0.10%,23.83066281230642,23.95,0.50%,-0.83%,,,,,,,,,,"Hits:1 | Rat:-0.3%
[SELL|DT|WR72%|6110台中銀_DT_L, 845S康和南崁_DT_XS]",,,"Hits:3 | Rat:0.2%
[BUY|Mix|WR81%|9134群益開元_DT_M, 9B23元富三重_ON_XS]
[BUY|Mix|WR81%|1022合庫台南_DT_M, 9B23元富三重_ON_XS]
[BUY|Mix|WR75%|910D群益市府_SW_M, 9B23元富三重_ON_XS]","Hits:1 | Rat:-0.0%
[SELL|Mix|WR72%|9329華南朴子_DT_M, 9B2L元富中壢_ON_XS]","20260306: [SELL|DT|WR72%|6110台中銀_DT_L, 845S康和南崁_DT_XS]
20260311: [BUY|Mix|WR81%|9134群益開元_DT_M, 9B23元富三重_ON_XS]
20260311: [BUY|Mix|WR81%|1022合庫台南_DT_M, 9B23元富三重_ON_XS]
20260311: [BUY|Mix|WR75%|910D群益市府_SW_M, 9B23元富三重_ON_XS]
20260312: [SELL|Mix|WR72%|9329華南朴子_DT_M, 9B2L元富中壢_ON_XS]",3,4,1,4,0,4,0
2413,環科,電子零組件,電源供應器 變壓器 被動元件 電感 電子零件元件 電子製造服務 電腦系統業,3,0.72%,0.17%,0.55%,54.12307900572431,50.5,-6.69%,,,,,,"Hits:2 | Rat:0.3%
[BUY|ON|WR94%|9852元大永春_ON_L, 9B22元富新店_ON_M]
[BUY|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]","Hits:1 | Rat:-0.1%
[SELL|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]",,,,"Hits:2 | Rat:0.0%
[BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
[SELL|Mix|WR81%|9838元大豐原_DT_L, 9B21元富高雄_ON_S]",,,,"Hits:3 | Rat:0.7%
[BUY|ON|WR92%|703B致和崇德_ON_L, 962C富邦竹科_ON_L]
[BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
[BUY|SW|WR75%|1111企銀台中_SW_S, 9B2l元富大裕_SW_L]","20260226: [BUY|ON|WR94%|9852元大永春_ON_L, 9B22元富新店_ON_M]
20260226: [BUY|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]
20260302: [SELL|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]
20260306: [BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
20260306: [SELL|Mix|WR81%|9838元大豐原_DT_L, 9B21元富高雄_ON_S]
20260312: [BUY|ON|WR92%|703B致和崇德_ON_L, 962C富邦竹科_ON_L]
20260312: [BUY|Mix|WR85%|700i兆豐松德_DT_L, 9B2l元富大裕_SW_L]
20260312: [BUY|SW|WR75%|1111企銀台中_SW_S, 9B2l元富大裕_SW_L]",1,2,3,0,1,0,5
2338,光罩,半導體業,光罩 IC製造,3,-1.72%,0.16%,-1.88%,54.66536106129946,51.3,-6.16%,2.41%,7.66%,,,,,"Hits:1 | Rat:-0.1%
[SELL|Mix|WR81%|989Z元大小港_SW_L, 9B2S元富基隆_DT_S]","Hits:5 | Rat:0.5%
[BUY|Mix|WR75%|9229凱基中山_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|918u群益瑞豐_SW_L, 9B2H元富信義_ON_L]
[SELL|Mix|WR72%|538F第一稻埕_SW_M, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|1114企銀嘉義_DT_M, 981U元大華山_SW_L]","Hits:2 | Rat:1.2%
[BUY|Mix|WR81%|8710陽   信_DT_M, 9B2w元富佳里_SW_L]
[BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]","Hits:2 | Rat:0.5%
[BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
[SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]","Hits:1 | Rat:0.0%
[SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]",,"Hits:2 | Rat:-2.6%
[SELL|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
[SELL|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]",,"Hits:1 | Rat:-0.2%
[SELL|ON|WR78%|9296凱基頭份_ON_S, 9875元大永寧_ON_L]","20260302: [SELL|Mix|WR81%|989Z元大小港_SW_L, 9B2S元富基隆_DT_S]
20260303: [BUY|Mix|WR75%|9229凱基中山_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR72%|918u群益瑞豐_SW_L, 9B2H元富信義_ON_L]
20260303: [SELL|Mix|WR72%|538F第一稻埕_SW_M, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR72%|1114企銀嘉義_DT_M, 981U元大華山_SW_L]
20260304: [BUY|Mix|WR81%|8710陽   信_DT_M, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR73%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260305: [BUY|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
20260305: [SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]
20260306: [SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]
20260310: [SELL|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
20260310: [SELL|Mix|WR81%|7007兆豐竹北_ON_L, 9B21元富高雄_DT_L]
20260312: [SELL|ON|WR78%|9296凱基頭份_ON_S, 9875元大永寧_ON_L]",2,4,0,0,1,0,5
2409,友達,光電業,面板業 中小尺吋面板 TFT-LCD OLED 觸控面板,2,0.24%,0.23%,0.01%,15.718492453523822,18.0,14.51%,4.01%,11.11%,,,,,,,"Hits:2 | Rat:0.2%
[BUY|DT|WR83%|981U元大華山_DT_S, 9B2U元富宜蘭_DT_L]
[BUY|Mix|WR76%|8586聯邦大業_DT_S, 961Z富邦永康_SW_L]",,,,"Hits:1 | Rat:1.2%
[BUY|SW|WR75%|981N元大金門_SW_L, 9B2M元富彰化_SW_M]",,"Hits:1 | Rat:-0.1%
[SELL|Mix|WR72%|7001兆豐嘉義_ON_L, 9B27元富林園_DT_M]","20260304: [BUY|DT|WR83%|981U元大華山_DT_S, 9B2U元富宜蘭_DT_L]
20260304: [BUY|Mix|WR76%|8586聯邦大業_DT_S, 961Z富邦永康_SW_L]
20260310: [BUY|SW|WR75%|981N元大金門_SW_L, 9B2M元富彰化_SW_M]
20260312: [SELL|Mix|WR72%|7001兆豐嘉義_ON_L, 9B27元富林園_DT_M]",1,1,2,0,0,2,2
2327,國巨*,電子零組件,被動元件 MLCC 晶片電阻 電容 電感 鉭質電解電容,2,0.18%,0.23%,-0.05%,262.21115424905776,261.5,-0.27%,-2.43%,,,,,,,,"Hits:1 | Rat:0.2%
[BUY|Mix|WR75%|6910德    信_DT_L, 9B2P元富同大_SW_M]",,"Hits:1 | Rat:0.4%
[BUY|SW|WR81%|981h元大屏生_SW_L, 9B2Z元富安南_SW_M]",,,"Hits:1 | Rat:0.2%
[BUY|ON|WR72%|920D凱基市府_ON_L, 965K富邦台中_ON_M]","Hits:1 | Rat:0.2%
[BUY|Mix|WR87%|585R統一東湖_SW_M, 920D凱基市府_ON_L]","20260304: [BUY|Mix|WR75%|6910德    信_DT_L, 9B2P元富同大_SW_M]
20260306: [BUY|SW|WR81%|981h元大屏生_SW_L, 9B2Z元富安南_SW_M]
20260311: [BUY|ON|WR72%|920D凱基市府_ON_L, 965K富邦台中_ON_M]
20260312: [BUY|Mix|WR87%|585R統一東湖_SW_M, 920D凱基市府_ON_L]",0,3,1,0,0,2,2
00642U,期元大S&P石油,-,,2,0.82%,0.82%,0.00%,22.45246272298936,25.62,14.11%,-5.54%,6.75%,,,,,,,,,,,"Hits:2 | Rat:0.8%
[BUY|Mix|WR84%|8583聯邦忠孝_ON_S, 9B2z元富文心_SW_M]
[BUY|Mix|WR83%|8583聯邦忠孝_ON_S, 9B2I元富嘉義_DT_M]",,,"20260310: [BUY|Mix|WR84%|8583聯邦忠孝_ON_S, 9B2z元富文心_SW_M]
20260310: [BUY|Mix|WR83%|8583聯邦忠孝_ON_S, 9B2I元富嘉義_DT_M]",1,2,1,0,2,2,0
3049,精金,光電業,面板業 觸控面板,2,-0.23%,0.50%,-0.73%,11.3989742036924,13.55,18.87%,-1.81%,,,,,"Hits:7 | Rat:-0.3%
[SELL|Mix|WR90%|6160中國信託_DT_M, 9B28元富新莊_SW_L]
[SELL|Mix|WR81%|9898元大新莊_DT_S, 9B28元富新莊_SW_L]
[SELL|Mix|WR76%|888K國泰板橋_DT_S, 9B28元富新莊_SW_L]
[SELL|Mix|WR75%|815A台新高雄_DT_S, 9B28元富新莊_SW_L]
[SELL|Mix|WR75%|888A國泰館前_DT_S, 9B28元富新莊_SW_L]
[BUY|Mix|WR72%|9636富邦中壢_DT_S, 9B28元富新莊_SW_L]
[BUY|Mix|WR71%|8560新    光_DT_M, 9B28元富新莊_SW_L]","Hits:4 | Rat:0.4%
[BUY|ON|WR81%|9875元大永寧_ON_L, 9B2H元富信義_ON_L]
[SELL|ON|WR73%|984C元大新中_ON_L, 989I元大蘆中_ON_M]
[BUY|Mix|WR72%|5266美好中壢_SW_XS, 980a元大中北_ON_L]
[BUY|Mix|WR72%|585D統一新台中_SW_M, 9B2H元富信義_ON_L]",,,"Hits:2 | Rat:1.3%
[BUY|Mix|WR81%|9A9P永豐竹北_SW_M, 9B2M元富彰化_ON_XS]
[BUY|Mix|WR72%|538F第一稻埕_SW_M, 9B2H元富信義_ON_L]",,,,"Hits:1 | Rat:-0.2%
[SELL|Mix|WR72%|7033致和府前_DT_XS, 9B2q元富屏東_ON_S]","Hits:1 | Rat:-0.3%
[SELL|Mix|WR72%|7033致和府前_DT_XS, 9B2q元富屏東_ON_S]","20260226: [SELL|Mix|WR90%|6160中國信託_DT_M, 9B28元富新莊_SW_L]
20260226: [SELL|Mix|WR81%|9898元大新莊_DT_S, 9B28元富新莊_SW_L]
20260226: [SELL|Mix|WR76%|888K國泰板橋_DT_S, 9B28元富新莊_SW_L]
20260226: [SELL|Mix|WR75%|815A台新高雄_DT_S, 9B28元富新莊_SW_L]
20260226: [SELL|Mix|WR75%|888A國泰館前_DT_S, 9B28元富新莊_SW_L]
20260226: [BUY|Mix|WR72%|9636富邦中壢_DT_S, 9B28元富新莊_SW_L]
20260226: [BUY|Mix|WR71%|8560新    光_DT_M, 9B28元富新莊_SW_L]
20260302: [BUY|ON|WR81%|9875元大永寧_ON_L, 9B2H元富信義_ON_L]
20260302: [SELL|ON|WR73%|984C元大新中_ON_L, 989I元大蘆中_ON_M]
20260302: [BUY|Mix|WR72%|5266美好中壢_SW_XS, 980a元大中北_ON_L]
20260302: [BUY|Mix|WR72%|585D統一新台中_SW_M, 9B2H元富信義_ON_L]
20260305: [BUY|Mix|WR81%|9A9P永豐竹北_SW_M, 9B2M元富彰化_ON_XS]
20260305: [BUY|Mix|WR72%|538F第一稻埕_SW_M, 9B2H元富信義_ON_L]
20260311: [SELL|Mix|WR72%|7033致和府前_DT_XS, 9B2q元富屏東_ON_S]
20260312: [SELL|Mix|WR72%|7033致和府前_DT_XS, 9B2q元富屏東_ON_S]",2,2,0,2,2,0,0
2421,建準,電子零組件,散熱風扇馬達 電子零件元件 散熱模組,2,-1.31%,-0.88%,-0.44%,144.0835252666502,146.0,1.33%,5.64%,9.77%,,,,,"Hits:2 | Rat:0.5%
[BUY|Mix|WR72%|538F第一稻埕_SW_M, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|585D統一新台中_SW_M, 9B2H元富信義_ON_L]",,"Hits:1 | Rat:-2.9%
[SELL|Mix|WR72%|983Z元大鳳山_SW_S, 9B2U元富宜蘭_DT_L]",,,,"Hits:1 | Rat:1.0%
[BUY|Mix|WR71%|8560新    光_DT_M, 9B28元富新莊_SW_L]",,"Hits:1 | Rat:-2.1%
[SELL|DT|WR83%|981U元大華山_DT_S, 9B2U元富宜蘭_DT_L]","20260302: [BUY|Mix|WR72%|538F第一稻埕_SW_M, 9B2H元富信義_ON_L]
20260302: [BUY|Mix|WR72%|585D統一新台中_SW_M, 9B2H元富信義_ON_L]
20260304: [SELL|Mix|WR72%|983Z元大鳳山_SW_S, 9B2U元富宜蘭_DT_L]
20260310: [BUY|Mix|WR71%|8560新    光_DT_M, 9B28元富新莊_SW_L]
20260312: [SELL|DT|WR83%|981U元大華山_DT_S, 9B2U元富宜蘭_DT_L]",3,0,1,0,1,1,2
