StockCode,StockName,Industry,細產業,Total_Hits,Avg_Net_Ratio,Ratio_10D,Ratio_Diff,Avg_Cost,End_Close,Cost_Spread,Avg_Ret_1D,Avg_Ret_2D,Avg_Ret_3D,Avg_Ret_5D,Avg_Ret_10D,20260302,20260303,20260304,20260305,20260306,20260309,20260310,20260311,20260312,20260313,Detailed_Info,Style_DT,Style_ON,Style_SW,Size_XS,Size_S,Size_M,Size_L
8039,台虹,電子零組件,軟板基板 印刷電路板相關,4,-0.36%,-0.36%,0.00%,131.38102600992548,140.0,6.56%,,,,,,,,,,,,,,,"Hits:4 | Rat:-0.4%
[BUY|Mix|WR83%|7795國票南港_ON_L, 9A8F永豐敦南_DT_L]
[SELL|Mix|WR76%|7795國票南港_ON_L, 9329華南朴子_DT_M]
[SELL|Mix|WR72%|7795國票南港_ON_L, 9A9D永豐忠孝_DT_L]
[SELL|Mix|WR72%|1262宏遠桃園_DT_M, 7795國票南港_ON_L]","20260313: [BUY|Mix|WR83%|7795國票南港_ON_L, 9A8F永豐敦南_DT_L]
20260313: [SELL|Mix|WR76%|7795國票南港_ON_L, 9329華南朴子_DT_M]
20260313: [SELL|Mix|WR72%|7795國票南港_ON_L, 9A9D永豐忠孝_DT_L]
20260313: [SELL|Mix|WR72%|1262宏遠桃園_DT_M, 7795國票南港_ON_L]",4,4,0,0,0,2,6
2413,環科,電子零組件,電源供應器 變壓器 被動元件 電感 電子零件元件 電子製造服務 電腦系統業,2,0.50%,0.29%,0.21%,54.17680692794493,47.0,-13.25%,-6.93%,,,,,"Hits:1 | Rat:-0.1%
[SELL|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]","Hits:1 | Rat:0.7%
[BUY|Mix|WR81%|700i兆豐松德_ON_M, 9B2l元富大裕_SW_L]",,,,,,,"Hits:2 | Rat:0.5%
[BUY|ON|WR92%|703B致和崇德_ON_L, 962C富邦竹科_ON_L]
[BUY|SW|WR75%|1111企銀台中_SW_S, 9B2l元富大裕_SW_L]",,"20260302: [SELL|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]
20260303: [BUY|Mix|WR81%|700i兆豐松德_ON_M, 9B2l元富大裕_SW_L]
20260312: [BUY|ON|WR92%|703B致和崇德_ON_L, 962C富邦竹科_ON_L]
20260312: [BUY|SW|WR75%|1111企銀台中_SW_S, 9B2l元富大裕_SW_L]",0,2,2,0,1,0,3
2338,光罩,半導體業,光罩 IC製造,2,-0.27%,-0.71%,0.44%,48.84215201116609,51.2,4.83%,,,,,,,,,,,,"Hits:1 | Rat:-1.1%
[SELL|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]",,"Hits:1 | Rat:-0.2%
[SELL|ON|WR78%|9296凱基頭份_ON_S, 9875元大永寧_ON_L]","Hits:1 | Rat:-0.3%
[SELL|Mix|WR75%|126D宏遠台南_ON_XS, 8156台新三民_DT_L]","20260310: [SELL|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
20260312: [SELL|ON|WR78%|9296凱基頭份_ON_S, 9875元大永寧_ON_L]
20260313: [SELL|Mix|WR75%|126D宏遠台南_ON_XS, 8156台新三民_DT_L]",1,3,0,1,1,0,2
2331,精英,電腦及週邊設備業,桌上型電腦 筆記型電腦製造 主機板 平板電腦 消費性電子產品 繪圖卡 電腦系統業,1,0.84%,1.50%,-0.66%,25.849542961608776,24.25,-6.19%,-0.81%,-2.02%,,,,,"Hits:8 | Rat:1.9%
[BUY|Mix|WR83%|700r兆豐寶成_DT_L, 7795國票南港_ON_L]
[BUY|Mix|WR83%|7795國票南港_ON_L, 9A8F永豐敦南_DT_L]
[BUY|Mix|WR81%|5857統一新竹_SW_L, 7795國票南港_ON_L]
[BUY|ON|WR78%|7795國票南港_ON_L, 9658富邦建國_ON_L]
[SELL|Mix|WR76%|7795國票南港_ON_L, 9329華南朴子_DT_M]
[SELL|Mix|WR75%|7795國票南港_ON_L, 9686富邦宜蘭_DT_L]
[BUY|Mix|WR75%|7795國票南港_ON_L, 9899元大淡水_DT_L]
[BUY|Mix|WR72%|1262宏遠桃園_DT_M, 7795國票南港_ON_L]",,,,,,"Hits:1 | Rat:0.8%
[BUY|SW|WR75%|1111企銀台中_SW_S, 9B2l元富大裕_SW_L]",,,"20260303: [BUY|Mix|WR83%|700r兆豐寶成_DT_L, 7795國票南港_ON_L]
20260303: [BUY|Mix|WR83%|7795國票南港_ON_L, 9A8F永豐敦南_DT_L]
20260303: [BUY|Mix|WR81%|5857統一新竹_SW_L, 7795國票南港_ON_L]
20260303: [BUY|ON|WR78%|7795國票南港_ON_L, 9658富邦建國_ON_L]
20260303: [SELL|Mix|WR76%|7795國票南港_ON_L, 9329華南朴子_DT_M]
20260303: [SELL|Mix|WR75%|7795國票南港_ON_L, 9686富邦宜蘭_DT_L]
20260303: [BUY|Mix|WR75%|7795國票南港_ON_L, 9899元大淡水_DT_L]
20260303: [BUY|Mix|WR72%|1262宏遠桃園_DT_M, 7795國票南港_ON_L]
20260311: [BUY|SW|WR75%|1111企銀台中_SW_S, 9B2l元富大裕_SW_L]",0,0,2,0,1,0,1
1310,台苯,塑膠工業,SM 石化業,1,-0.17%,-0.17%,0.00%,10.811111111111112,12.6,16.55%,6.09%,9.57%,,,,,,,,,,,"Hits:1 | Rat:-0.2%
[SELL|Mix|WR72%|5263美好泰山_DT_S, 9B2g元富中原_ON_XS]",,,"20260311: [SELL|Mix|WR72%|5263美好泰山_DT_S, 9B2g元富中原_ON_XS]",1,1,0,1,1,0,0
2409,友達,光電業,面板業 中小尺吋面板 TFT-LCD OLED 觸控面板,1,0.13%,0.11%,0.02%,16.296969139616962,17.15,5.23%,,,,,,,,,"Hits:1 | Rat:0.1%
[BUY|ON|WR81%|9327華南斗六_ON_M, 9B2i元富中港_ON_S]",,,,,,"Hits:1 | Rat:0.1%
[BUY|ON|WR88%|538W第一華江_ON_L, 983K元大學甲_ON_S]","20260305: [BUY|ON|WR81%|9327華南斗六_ON_M, 9B2i元富中港_ON_S]
20260313: [BUY|ON|WR88%|538W第一華江_ON_L, 983K元大學甲_ON_S]",0,2,0,0,1,0,1
2429,銘旺科,光電業,面板零組件 玻璃基板加工,1,0.93%,0.93%,0.00%,48.4,50.3,3.93%,1.21%,1.62%,,,,,,,,,,,"Hits:1 | Rat:0.9%
[BUY|SW|WR76%|982A元大羅東_SW_M, 9B2n元富西松_SW_XS]",,,"20260311: [BUY|SW|WR76%|982A元大羅東_SW_M, 9B2n元富西松_SW_XS]",0,0,2,1,0,1,0
3048,益登,電子通路業,IC零組件通路商 電子通路,1,-1.06%,-1.06%,0.00%,37.35,37.95,1.61%,1.05%,-0.13%,,,,,,,,,,,"Hits:1 | Rat:-1.1%
[SELL|Mix|WR72%|5263美好泰山_DT_S, 9B2g元富中原_ON_XS]",,,"20260311: [SELL|Mix|WR72%|5263美好泰山_DT_S, 9B2g元富中原_ON_XS]",1,1,0,1,1,0,0
3376,新日興,電子零組件,模具沖壓 樞紐 電子零件元件,1,-0.06%,-0.06%,0.00%,196.66971713810315,198.5,0.93%,1.25%,-0.75%,,,,,,,,,,,"Hits:1 | Rat:-0.1%
[SELL|DT|WR83%|989B元大中港_DT_L, 9B2b元富板橋_DT_S]",,,"20260311: [SELL|DT|WR83%|989B元大中港_DT_L, 9B2b元富板橋_DT_S]",2,0,0,0,1,0,1
2327,國巨*,電子零組件,被動元件 MLCC 晶片電阻 電容 電感 鉭質電解電容,1,0.18%,0.18%,0.00%,264.8174707531664,259.5,-2.01%,-2.43%,-3.17%,,,,,,,,,,,"Hits:1 | Rat:0.2%
[BUY|ON|WR72%|920D凱基市府_ON_L, 965K富邦台中_ON_M]",,,"20260311: [BUY|ON|WR72%|920D凱基市府_ON_L, 965K富邦台中_ON_M]",0,2,0,0,0,1,1
