StockCode,StockName,Industry,細產業,Total_Hits,Avg_Net_Ratio,Ratio_10D,Ratio_Diff,Avg_Cost,End_Close,Cost_Spread,Avg_Ret_1D,Avg_Ret_2D,Avg_Ret_3D,Avg_Ret_5D,Avg_Ret_10D,20260302,20260303,20260304,20260305,20260306,20260309,20260310,20260311,20260312,20260313,Detailed_Info,Style_DT,Style_ON,Style_SW,Size_XS,Size_S,Size_M,Size_L
2413,環科,電子零組件,電源供應器 變壓器 被動元件 電感 電子零件元件 電子製造服務 電腦系統業,1,0.11%,0.24%,-0.13%,55.03877856875234,47.0,-14.61%,-6.93%,,,,,"Hits:1 | Rat:-0.1%
[SELL|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]","Hits:1 | Rat:0.7%
[BUY|Mix|WR72%|700i兆豐松德_ON_M, 9B2l元富大裕_SW_L]",,,,,,,"Hits:1 | Rat:0.1%
[BUY|ON|WR84%|703B致和崇德_ON_L, 962C富邦竹科_ON_L]",,"20260302: [SELL|ON|WR84%|585b統一內湖_ON_L, 9B22元富新店_ON_M]
20260303: [BUY|Mix|WR72%|700i兆豐松德_ON_M, 9B2l元富大裕_SW_L]
20260312: [BUY|ON|WR84%|703B致和崇德_ON_L, 962C富邦竹科_ON_L]",0,2,0,0,0,0,2
2409,友達,光電業,面板業 中小尺吋面板 TFT-LCD OLED 觸控面板,1,0.13%,0.11%,0.02%,16.296969139616962,17.15,5.23%,,,,,,,,,"Hits:1 | Rat:0.1%
[BUY|ON|WR72%|9327華南斗六_ON_M, 9B2i元富中港_ON_S]",,,,,,"Hits:1 | Rat:0.1%
[BUY|ON|WR76%|538W第一華江_ON_L, 983K元大學甲_ON_S]","20260305: [BUY|ON|WR72%|9327華南斗六_ON_M, 9B2i元富中港_ON_S]
20260313: [BUY|ON|WR76%|538W第一華江_ON_L, 983K元大學甲_ON_S]",0,2,0,0,1,0,1
2327,國巨*,電子零組件,被動元件 MLCC 晶片電阻 電容 電感 鉭質電解電容,1,0.18%,0.18%,0.00%,264.8174707531664,259.5,-2.01%,-2.43%,-3.17%,,,,,,,,,,,"Hits:1 | Rat:0.2%
[BUY|ON|WR72%|920D凱基市府_ON_L, 965K富邦台中_ON_M]",,,"20260311: [BUY|ON|WR72%|920D凱基市府_ON_L, 965K富邦台中_ON_M]",0,2,0,0,0,1,1
2429,銘旺科,光電業,面板零組件 玻璃基板加工,1,0.93%,0.93%,0.00%,48.4,50.3,3.93%,1.21%,1.62%,,,,,,,,,,,"Hits:1 | Rat:0.9%
[BUY|SW|WR76%|982A元大羅東_SW_M, 9B2n元富西松_SW_XS]",,,"20260311: [BUY|SW|WR76%|982A元大羅東_SW_M, 9B2n元富西松_SW_XS]",0,0,2,1,0,1,0
8150,南茂,半導體業,IC封裝 IC測試 金、錫凸塊 IC封裝測試 LCD驅動IC封裝 封測服務與材料,1,0.07%,0.07%,0.00%,62.894232673267325,61.1,-2.85%,0.31%,-4.23%,,,,,,,,,,,"Hits:1 | Rat:0.1%
[BUY|Mix|WR78%|9137群益士林_DT_L, 981N元大金門_ON_S]",,,"20260311: [BUY|Mix|WR78%|9137群益士林_DT_L, 981N元大金門_ON_S]",1,1,0,0,1,0,1
2312,金寶,其他電子業,車用電子 桌上型電腦 筆記型電腦製造 通訊設備 手機 手機製造 視訊轉換相關 消費性電子產品 週邊產品 印表機 3D印表機 硬碟相關 POS機系統 穿戴式裝置 電子製造服務 電腦系統業 家電,1,-0.02%,-0.02%,0.00%,23.54642857142857,23.2,-1.47%,-3.13%,,,,,,,,,,,,,"Hits:1 | Rat:-0.0%
[SELL|Mix|WR72%|9329華南朴子_DT_M, 9B2L元富中壢_ON_XS]",,"20260312: [SELL|Mix|WR72%|9329華南朴子_DT_M, 9B2L元富中壢_ON_XS]",1,1,0,1,0,1,0
2338,光罩,半導體業,光罩 IC製造,1,-0.22%,-0.22%,0.00%,51.1,51.2,0.20%,-0.19%,,,,,,,,,,,,,"Hits:1 | Rat:-0.2%
[SELL|ON|WR71%|9296凱基頭份_ON_S, 9875元大永寧_ON_L]",,"20260312: [SELL|ON|WR71%|9296凱基頭份_ON_S, 9875元大永寧_ON_L]",0,2,0,0,1,0,1
6672,騰輝電子-KY,電子零組件,LED LED散熱基板 銅箔基板 印刷電路板相關,1,-0.29%,-0.29%,0.00%,95.1,98.6,3.68%,0.82%,,,,,,,,,,,,,"Hits:1 | Rat:-0.3%
[SELL|Mix|WR80%|6489福邦新竹_DT_M, 9B25元富台中_ON_M]",,"20260312: [SELL|Mix|WR80%|6489福邦新竹_DT_M, 9B25元富台中_ON_M]",1,1,0,0,0,2,0
2612,中航,航運,倉儲/貨櫃場 散裝航運 陸運 運輸事業 物流業,1,0.08%,0.08%,0.00%,57.833333333333336,60.2,4.09%,,,,,,,,,,,,,,,"Hits:1 | Rat:0.1%
[BUY|Mix|WR76%|918u群益瑞豐_DT_L, 982F元大忠鼎_ON_S]","20260313: [BUY|Mix|WR76%|918u群益瑞豐_DT_L, 982F元大忠鼎_ON_S]",1,1,0,0,1,0,1
3543,州巧,光電業,家居用品 模具沖壓 電子零件元件,1,-1.13%,-1.13%,0.00%,48.2,52.6,9.13%,,,,,,,,,,,,,,,"Hits:1 | Rat:-1.1%
[SELL|Mix|WR71%|7791國票台東_ON_S, 9257凱基林口_DT_L]","20260313: [SELL|Mix|WR71%|7791國票台東_ON_S, 9257凱基林口_DT_L]",1,1,0,0,1,0,1
