StockCode,StockName,Industry,細產業,Total_Hits,Avg_Net_Ratio,Ratio_10D,Ratio_Diff,Avg_Cost,End_Close,Cost_Spread,Avg_Ret_1D,Avg_Ret_2D,Avg_Ret_3D,Avg_Ret_5D,Avg_Ret_10D,20260211,20260223,20260224,20260225,20260226,20260302,20260303,20260304,20260305,20260306,Detailed_Info,Style_DT,Style_ON,Style_SW,Size_XS,Size_S,Size_M,Size_L
2338,光罩,半導體業,光罩 IC製造,13,2.63%,1.06%,1.57%,51.39161997474662,54.4,5.85%,-2.78%,-6.41%,-10.01%,-5.31%,,"Hits:14 | Rat:-1.0%
[BUY|Mix|WR90%|7795國票南港_ON_L, 981F元大福營_DT_L]
[SELL|Mix|WR83%|7795國票南港_ON_L, 9A8F永豐敦南_DT_L]
[SELL|Mix|WR81%|7795國票南港_ON_L, 9278凱基永康_DT_L]
[SELL|Mix|WR81%|7795國票南港_ON_L, 9686富邦宜蘭_DT_L]
[SELL|Mix|WR81%|7795國票南港_ON_L, 9872元大復北_DT_L]
[SELL|Mix|WR81%|7795國票南港_ON_L, 9899元大淡水_DT_L]
[SELL|Mix|WR81%|7795國票南港_ON_L, 9A97永豐新竹_DT_L]
[SELL|ON|WR78%|7795國票南港_ON_L, 9658富邦建國_ON_L]
[SELL|Mix|WR76%|7795國票南港_ON_L, 989I元大蘆中_DT_L]
[BUY|SW|WR75%|981N元大金門_SW_L, 9B2M元富彰化_SW_M]
[BUY|Mix|WR72%|526A美好中和_SW_XS, 9B2n元富西松_DT_L]
[SELL|Mix|WR72%|1040臺    銀_DT_L, 7795國票南港_ON_L]
[BUY|SW|WR72%|961K富邦七賢_SW_L, 9B2M元富彰化_SW_M]
[SELL|Mix|WR71%|104A臺銀臺中_DT_L, 7795國票南港_ON_L]","Hits:1 | Rat:0.3%
[BUY|Mix|WR81%|1031土銀台中_SW_XS, 9816元大新竹_ON_L]",,"Hits:1 | Rat:5.5%
[BUY|Mix|WR90%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]",,"Hits:3 | Rat:0.0%
[BUY|Mix|WR81%|9862元大南京_SW_L, 9B2H元富信義_ON_L]
[SELL|Mix|WR81%|989Z元大小港_SW_L, 9B2S元富基隆_DT_S]
[SELL|ON|WR75%|1040臺    銀_ON_L, 9B2H元富信義_ON_L]","Hits:8 | Rat:0.7%
[BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR82%|9108群益海山_SW_M, 9B2H元富信義_ON_L]
[BUY|Mix|WR81%|9229凱基中山_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR75%|9233凱基長庚_SW_L, 9B2H元富信義_ON_L]
[SELL|Mix|WR72%|779E國票南崁_SW_M, 9B2H元富信義_ON_L]
[SELL|Mix|WR72%|989L元大成功_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|1114企銀嘉義_DT_M, 981U元大華山_SW_L]","Hits:10 | Rat:6.2%
[BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR81%|9862元大南京_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR81%|965K富邦台中_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|5384第一台南_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|6620口 袋_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|8710陽   信_DT_M, 9B2w元富佳里_SW_L]
[SELL|Mix|WR81%|9872元大復北_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|9A9X永豐竹科_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]","Hits:2 | Rat:-0.2%
[SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]
[BUY|SW|WR72%|884C玉山信義_SW_L, 9B2c元富烏日_SW_M]","Hits:1 | Rat:0.0%
[SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]","20260211: [BUY|Mix|WR90%|7795國票南港_ON_L, 981F元大福營_DT_L]
20260211: [SELL|Mix|WR83%|7795國票南港_ON_L, 9A8F永豐敦南_DT_L]
20260211: [SELL|Mix|WR81%|7795國票南港_ON_L, 9278凱基永康_DT_L]
20260211: [SELL|Mix|WR81%|7795國票南港_ON_L, 9686富邦宜蘭_DT_L]
20260211: [SELL|Mix|WR81%|7795國票南港_ON_L, 9872元大復北_DT_L]
20260211: [SELL|Mix|WR81%|7795國票南港_ON_L, 9899元大淡水_DT_L]
20260211: [SELL|Mix|WR81%|7795國票南港_ON_L, 9A97永豐新竹_DT_L]
20260211: [SELL|ON|WR78%|7795國票南港_ON_L, 9658富邦建國_ON_L]
20260211: [SELL|Mix|WR76%|7795國票南港_ON_L, 989I元大蘆中_DT_L]
20260211: [BUY|SW|WR75%|981N元大金門_SW_L, 9B2M元富彰化_SW_M]
20260211: [BUY|Mix|WR72%|526A美好中和_SW_XS, 9B2n元富西松_DT_L]
20260211: [SELL|Mix|WR72%|1040臺    銀_DT_L, 7795國票南港_ON_L]
20260211: [BUY|SW|WR72%|961K富邦七賢_SW_L, 9B2M元富彰化_SW_M]
20260211: [SELL|Mix|WR71%|104A臺銀臺中_DT_L, 7795國票南港_ON_L]
20260223: [BUY|Mix|WR81%|1031土銀台中_SW_XS, 9816元大新竹_ON_L]
20260225: [BUY|Mix|WR90%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
20260302: [BUY|Mix|WR81%|9862元大南京_SW_L, 9B2H元富信義_ON_L]
20260302: [SELL|Mix|WR81%|989Z元大小港_SW_L, 9B2S元富基隆_DT_S]
20260302: [SELL|ON|WR75%|1040臺    銀_ON_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR82%|9108群益海山_SW_M, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR81%|9229凱基中山_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR75%|9233凱基長庚_SW_L, 9B2H元富信義_ON_L]
20260303: [SELL|Mix|WR72%|779E國票南崁_SW_M, 9B2H元富信義_ON_L]
20260303: [SELL|Mix|WR72%|989L元大成功_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR72%|1114企銀嘉義_DT_M, 981U元大華山_SW_L]
20260304: [BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR81%|9862元大南京_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR81%|965K富邦台中_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|5384第一台南_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|6620口 袋_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|8710陽   信_DT_M, 9B2w元富佳里_SW_L]
20260304: [SELL|Mix|WR81%|9872元大復北_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|9A9X永豐竹科_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]
20260305: [SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]
20260305: [BUY|SW|WR72%|884C玉山信義_SW_L, 9B2c元富烏日_SW_M]
20260306: [SELL|ON|WR81%|7007兆豐竹北_ON_L, 961R富邦南員_ON_L]",7,7,12,0,0,2,24
2313,華通,電子零組件,軟板 印刷電路板 印刷電路板相關,9,-0.50%,-0.31%,-0.20%,214.0946978442024,212.5,-0.74%,-3.39%,-12.70%,-15.67%,-7.12%,,"Hits:1 | Rat:-0.2%
[SELL|ON|WR83%|9252凱基嘉義_ON_M, 9331華南鳳山_ON_L]",,"Hits:1 | Rat:0.0%
[BUY|Mix|WR84%|538P第一路竹_ON_L, 9B2A元富緯城_DT_L]",,,,,"Hits:8 | Rat:-1.2%
[SELL|Mix|WR81%|965K富邦台中_DT_L, 9B2w元富佳里_SW_L]
[SELL|Mix|WR81%|5384第一台南_DT_L, 9B2w元富佳里_SW_L]
[SELL|Mix|WR81%|5854統一城中_DT_L, 9B2w元富佳里_SW_L]
[SELL|Mix|WR81%|6620口 袋_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|9872元大復北_DT_L, 9B2w元富佳里_SW_L]
[SELL|Mix|WR81%|9A8F永豐敦南_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|9A9X永豐竹科_DT_L, 9B2w元富佳里_SW_L]
[SELL|Mix|WR81%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]","Hits:1 | Rat:0.1%
[BUY|ON|WR75%|1040臺    銀_ON_L, 9B2H元富信義_ON_L]",,"20260211: [SELL|ON|WR83%|9252凱基嘉義_ON_M, 9331華南鳳山_ON_L]
20260224: [BUY|Mix|WR84%|538P第一路竹_ON_L, 9B2A元富緯城_DT_L]
20260304: [SELL|Mix|WR81%|965K富邦台中_DT_L, 9B2w元富佳里_SW_L]
20260304: [SELL|Mix|WR81%|5384第一台南_DT_L, 9B2w元富佳里_SW_L]
20260304: [SELL|Mix|WR81%|5854統一城中_DT_L, 9B2w元富佳里_SW_L]
20260304: [SELL|Mix|WR81%|6620口 袋_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|9872元大復北_DT_L, 9B2w元富佳里_SW_L]
20260304: [SELL|Mix|WR81%|9A8F永豐敦南_DT_L, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR81%|9A9X永豐竹科_DT_L, 9B2w元富佳里_SW_L]
20260304: [SELL|Mix|WR81%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]
20260305: [BUY|ON|WR75%|1040臺    銀_ON_L, 9B2H元富信義_ON_L]",8,2,8,0,0,0,18
2330,台積電,半導體業,IC生產 專業晶圓代工 IC製造,9,0.70%,0.54%,0.16%,1897.5005171678845,1905.0,0.40%,-0.36%,-3.71%,-4.13%,-0.37%,,,,,"Hits:1 | Rat:0.0%
[BUY|SW|WR81%|5320高    橋_SW_L, 700G兆豐麻豆_SW_L]",,,,"Hits:6 | Rat:0.9%
[BUY|Mix|WR90%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
[BUY|Mix|WR75%|9233凱基長庚_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|989L元大成功_SW_L, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]","Hits:3 | Rat:0.4%
[BUY|Mix|WR81%|5854統一城中_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|6620口 袋_DT_L, 9B2w元富佳里_SW_L]
[BUY|Mix|WR81%|9872元大復北_DT_L, 9B2w元富佳里_SW_L]",,"20260225: [BUY|SW|WR81%|5320高    橋_SW_L, 700G兆豐麻豆_SW_L]
20260304: [BUY|Mix|WR90%|815Y台新新營_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR84%|8846玉山板橋_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR83%|7007兆豐竹北_ON_L, 9B2v元富桃園_DT_L]
20260304: [BUY|Mix|WR75%|9233凱基長庚_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR72%|989L元大成功_SW_L, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR72%|981y元大善化_SW_L, 9B2H元富信義_ON_L]
20260305: [BUY|Mix|WR81%|5854統一城中_DT_L, 9B2w元富佳里_SW_L]
20260305: [BUY|Mix|WR81%|6620口 袋_DT_L, 9B2w元富佳里_SW_L]
20260305: [BUY|Mix|WR81%|9872元大復北_DT_L, 9B2w元富佳里_SW_L]",4,6,8,0,0,0,18
3576,聯合再生,光電業,太陽能 太陽能電池 太陽能電池模組 太陽能系統運用,5,0.35%,-0.14%,0.49%,19.54936547426714,23.1,18.16%,-7.04%,-11.77%,-13.43%,-10.83%,,,"Hits:2 | Rat:-6.0%
[SELL|ON|WR86%|980K元大竹科_ON_L, 9B2Z元富安南_ON_S]
[BUY|Mix|WR84%|9291凱基大安_ON_S, 9B2I元富嘉義_DT_M]","Hits:3 | Rat:4.7%
[BUY|ON|WR93%|9239凱基市政_ON_M, 9B2U元富宜蘭_ON_M]
[SELL|ON|WR83%|9369華南三重_ON_S, 9B2i元富中港_ON_S]
[BUY|Mix|WR71%|989j元大樹林_ON_M, 9B23元富三重_DT_XS]","Hits:3 | Rat:-0.6%
[SELL|ON|WR76%|8585聯邦三重_ON_S, 9B2l元富大裕_ON_M]
[BUY|Mix|WR76%|585W統一金門_ON_S, 9B21元富高雄_DT_M]
[SELL|Mix|WR75%|989L元大成功_ON_S, 9B2a元富松德_DT_L]",,"Hits:3 | Rat:0.2%
[BUY|Mix|WR91%|700B兆豐板橋_ON_M, 9B2H元富信義_SW_M]
[SELL|Mix|WR91%|884M玉山數位_ON_S, 9B2a元富松德_DT_L]
[BUY|Mix|WR76%|6382光和田中_DT_M, 9B2q元富屏東_SW_S]",,"Hits:1 | Rat:0.2%
[BUY|DT|WR81%|5263美好泰山_DT_L, 9B28元富新莊_DT_S]","Hits:3 | Rat:0.7%
[BUY|ON|WR84%|9328華南潮州_ON_M, 9B2Z元富安南_ON_M]
[BUY|Mix|WR75%|9204凱基台中_ON_S, 9B29元富台南_SW_M]
[BUY|Mix|WR75%|1111企銀台中_ON_S, 9B2v元富桃園_DT_M]","Hits:1 | Rat:-0.4%
[SELL|ON|WR75%|9352華南桃園_ON_M, 9B21元富高雄_ON_S]","20260223: [SELL|ON|WR86%|980K元大竹科_ON_L, 9B2Z元富安南_ON_S]
20260223: [BUY|Mix|WR84%|9291凱基大安_ON_S, 9B2I元富嘉義_DT_M]
20260224: [BUY|ON|WR93%|9239凱基市政_ON_M, 9B2U元富宜蘭_ON_M]
20260224: [SELL|ON|WR83%|9369華南三重_ON_S, 9B2i元富中港_ON_S]
20260224: [BUY|Mix|WR71%|989j元大樹林_ON_M, 9B23元富三重_DT_XS]
20260225: [SELL|ON|WR76%|8585聯邦三重_ON_S, 9B2l元富大裕_ON_M]
20260225: [BUY|Mix|WR76%|585W統一金門_ON_S, 9B21元富高雄_DT_M]
20260225: [SELL|Mix|WR75%|989L元大成功_ON_S, 9B2a元富松德_DT_L]
20260302: [BUY|Mix|WR91%|700B兆豐板橋_ON_M, 9B2H元富信義_SW_M]
20260302: [SELL|Mix|WR91%|884M玉山數位_ON_S, 9B2a元富松德_DT_L]
20260302: [BUY|Mix|WR76%|6382光和田中_DT_M, 9B2q元富屏東_SW_S]
20260304: [BUY|DT|WR81%|5263美好泰山_DT_L, 9B28元富新莊_DT_S]
20260305: [BUY|ON|WR84%|9328華南潮州_ON_M, 9B2Z元富安南_ON_M]
20260305: [BUY|Mix|WR75%|9204凱基台中_ON_S, 9B29元富台南_SW_M]
20260305: [BUY|Mix|WR75%|1111企銀台中_ON_S, 9B2v元富桃園_DT_M]
20260306: [SELL|ON|WR75%|9352華南桃園_ON_M, 9B21元富高雄_ON_S]",3,6,1,0,4,5,1
2369,菱生,半導體業,IC封裝 IC測試 IC封裝測試,4,-2.40%,-0.56%,-1.84%,27.586612426862967,28.0,1.50%,1.86%,-0.19%,-2.32%,2.50%,,,,"Hits:2 | Rat:-0.1%
[SELL|Mix|WR75%|1036土銀玉里_DT_M, 9B27元富林園_ON_S]
[SELL|Mix|WR70%|9A9R永豐信義_DT_L, 9B27元富林園_ON_S]","Hits:4 | Rat:0.6%
[BUY|Mix|WR82%|9108群益海山_SW_M, 9B2H元富信義_ON_L]
[BUY|Mix|WR75%|9614富邦基隆_SW_M, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|779E國票南崁_SW_M, 9B2H元富信義_ON_L]
[BUY|Mix|WR72%|989L元大成功_SW_L, 9B2H元富信義_ON_L]",,,"Hits:1 | Rat:0.0%
[BUY|Mix|WR91%|700B兆豐板橋_ON_M, 9B2H元富信義_SW_M]","Hits:3 | Rat:-4.3%
[BUY|Mix|WR91%|700B兆豐板橋_ON_M, 9B2H元富信義_SW_M]
[SELL|ON|WR75%|700B兆豐板橋_ON_M, 9B2U元富宜蘭_ON_M]
[SELL|ON|WR71%|9B2U元富宜蘭_ON_M, 9B2Z元富安南_ON_M]","Hits:1 | Rat:0.0%
[BUY|ON|WR88%|585g統一平鎮_ON_S, 9B2o元富新興_ON_M]",,"20260224: [SELL|Mix|WR75%|1036土銀玉里_DT_M, 9B27元富林園_ON_S]
20260224: [SELL|Mix|WR70%|9A9R永豐信義_DT_L, 9B27元富林園_ON_S]
20260225: [BUY|Mix|WR82%|9108群益海山_SW_M, 9B2H元富信義_ON_L]
20260225: [BUY|Mix|WR75%|9614富邦基隆_SW_M, 9B2H元富信義_ON_L]
20260225: [BUY|Mix|WR72%|779E國票南崁_SW_M, 9B2H元富信義_ON_L]
20260225: [BUY|Mix|WR72%|989L元大成功_SW_L, 9B2H元富信義_ON_L]
20260303: [BUY|Mix|WR91%|700B兆豐板橋_ON_M, 9B2H元富信義_SW_M]
20260304: [BUY|Mix|WR91%|700B兆豐板橋_ON_M, 9B2H元富信義_SW_M]
20260304: [SELL|ON|WR75%|700B兆豐板橋_ON_M, 9B2U元富宜蘭_ON_M]
20260304: [SELL|ON|WR71%|9B2U元富宜蘭_ON_M, 9B2Z元富安南_ON_M]
20260305: [BUY|ON|WR88%|585g統一平鎮_ON_S, 9B2o元富新興_ON_M]",0,7,1,0,1,7,0
6861,睿生光電,生技醫療,設備儀器廠商,3,-0.22%,-0.07%,-0.16%,98.59883571017711,154.0,56.19%,2.04%,-2.17%,-3.96%,13.14%,,"Hits:2 | Rat:1.9%
[BUY|ON|WR83%|9236凱基虎尾_ON_S, 9B2o元富新興_ON_M]
[BUY|Mix|WR71%|6463大昌新竹_DT_XS, 9B2o元富新興_ON_M]","Hits:2 | Rat:-2.5%
[SELL|ON|WR83%|9236凱基虎尾_ON_S, 9B2o元富新興_ON_M]
[BUY|Mix|WR81%|981j元大士林_SW_L, 9B2E元富城中_DT_S]",,"Hits:2 | Rat:-1.5%
[SELL|ON|WR90%|965U富邦彰化_ON_M, 9B27元富林園_ON_S]
[SELL|Mix|WR70%|9A9R永豐信義_DT_L, 9B27元富林園_ON_S]",,,,"Hits:1 | Rat:-0.3%
[SELL|Mix|WR75%|961F富邦公益_DT_S, 9B2Z元富安南_ON_M]","Hits:2 | Rat:-0.1%
[BUY|Mix|WR81%|8492京城嘉義_DT_S, 9324華南岡山_ON_L]
[SELL|ON|WR77%|9838元大豐原_ON_S, 9B2H元富信義_ON_M]",,"20260211: [BUY|ON|WR83%|9236凱基虎尾_ON_S, 9B2o元富新興_ON_M]
20260211: [BUY|Mix|WR71%|6463大昌新竹_DT_XS, 9B2o元富新興_ON_M]
20260223: [SELL|ON|WR83%|9236凱基虎尾_ON_S, 9B2o元富新興_ON_M]
20260223: [BUY|Mix|WR81%|981j元大士林_SW_L, 9B2E元富城中_DT_S]
20260225: [SELL|ON|WR90%|965U富邦彰化_ON_M, 9B27元富林園_ON_S]
20260225: [SELL|Mix|WR70%|9A9R永豐信義_DT_L, 9B27元富林園_ON_S]
20260304: [SELL|Mix|WR75%|961F富邦公益_DT_S, 9B2Z元富安南_ON_M]
20260305: [BUY|Mix|WR81%|8492京城嘉義_DT_S, 9324華南岡山_ON_L]
20260305: [SELL|ON|WR77%|9838元大豐原_ON_S, 9B2H元富信義_ON_M]",2,4,0,0,3,2,1
6152,百一,通訊網路業,通訊設備 低雜訊降頻器 視訊轉換相關 消費性電子產品,3,0.83%,0.71%,0.12%,20.383667621776503,20.95,2.78%,-5.48%,-8.13%,-10.31%,-8.72%,,"Hits:1 | Rat:0.1%
[BUY|Mix|WR84%|5962日茂南投_DT_XS, 9B2Q元富敦南_SW_S]",,"Hits:1 | Rat:0.3%
[BUY|Mix|WR92%|1650瑞銀_ON_M, 9B2I元富嘉義_DT_M]",,,,"Hits:1 | Rat:0.7%
[BUY|Mix|WR84%|9A98永豐大園_DT_XS, 9B2H元富信義_ON_M]","Hits:1 | Rat:3.6%
[BUY|Mix|WR84%|9A98永豐大園_DT_XS, 9B2H元富信義_ON_M]","Hits:1 | Rat:-0.1%
[SELL|Mix|WR84%|9291凱基大安_ON_S, 9B2I元富嘉義_DT_M]","Hits:1 | Rat:-0.2%
[SELL|ON|WR92%|9A9q永豐潮州_ON_S, 9B2B元富永和_ON_S]","20260211: [BUY|Mix|WR84%|5962日茂南投_DT_XS, 9B2Q元富敦南_SW_S]
20260224: [BUY|Mix|WR92%|1650瑞銀_ON_M, 9B2I元富嘉義_DT_M]
20260303: [BUY|Mix|WR84%|9A98永豐大園_DT_XS, 9B2H元富信義_ON_M]
20260304: [BUY|Mix|WR84%|9A98永豐大園_DT_XS, 9B2H元富信義_ON_M]
20260305: [SELL|Mix|WR84%|9291凱基大安_ON_S, 9B2I元富嘉義_DT_M]
20260306: [SELL|ON|WR92%|9A9q永豐潮州_ON_S, 9B2B元富永和_ON_S]",2,4,0,1,3,2,0
3535,晶彩科,光電業,設備儀器廠商 面板設備,3,-0.12%,-0.28%,0.16%,122.32575830253096,148.5,21.40%,6.07%,9.63%,8.78%,-0.93%,,,,,"Hits:3 | Rat:-0.9%
[SELL|Mix|WR91%|8884國泰台南_DT_L, 9B2B元富永和_ON_S]
[BUY|Mix|WR91%|9692富邦嘉義_SW_L, 9B2G元富新竹_ON_S]
[SELL|Mix|WR72%|538E第一自由_DT_L, 9B2B元富永和_ON_S]",,,,"Hits:1 | Rat:0.2%
[BUY|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]","Hits:2 | Rat:-0.5%
[SELL|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]
[BUY|SW|WR72%|918i群益竹南_SW_L, 9B2I元富嘉義_SW_M]",,"20260225: [SELL|Mix|WR91%|8884國泰台南_DT_L, 9B2B元富永和_ON_S]
20260225: [BUY|Mix|WR91%|9692富邦嘉義_SW_L, 9B2G元富新竹_ON_S]
20260225: [SELL|Mix|WR72%|538E第一自由_DT_L, 9B2B元富永和_ON_S]
20260304: [BUY|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]
20260305: [SELL|Mix|WR91%|989k元大古亭_DT_M, 9B2U元富宜蘭_ON_L]
20260305: [BUY|SW|WR72%|918i群益竹南_SW_L, 9B2I元富嘉義_SW_M]",2,2,2,0,0,3,3
1513,中興電,電機機械,其他公用事業 停車場 電機 重型電氣設備 輸配電設備 電氣開關設備 電氣自控設備 配電工程 空調製冷 機械 電力設備,3,0.09%,0.17%,-0.08%,167.78328950513986,164.0,-2.25%,0.31%,-2.32%,-5.23%,-2.00%,,,,,,"Hits:1 | Rat:0.2%
[BUY|Mix|WR72%|111B台企建成_DT_M, 9B2I元富嘉義_ON_S]",,,"Hits:2 | Rat:0.1%
[BUY|Mix|WR72%|9A9Z永豐復興_ON_M, 9B2c元富烏日_SW_M]
[SELL|ON|WR71%|9B2W元富吉利_ON_S, 9B2u元富世貿_ON_S]","Hits:1 | Rat:0.0%
[BUY|Mix|WR77%|8584聯邦雙和_SW_XS, 9B2W元富吉利_ON_S]",,"20260226: [BUY|Mix|WR72%|111B台企建成_DT_M, 9B2I元富嘉義_ON_S]
20260304: [BUY|Mix|WR72%|9A9Z永豐復興_ON_M, 9B2c元富烏日_SW_M]
20260304: [SELL|ON|WR71%|9B2W元富吉利_ON_S, 9B2u元富世貿_ON_S]
20260305: [BUY|Mix|WR77%|8584聯邦雙和_SW_XS, 9B2W元富吉利_ON_S]",0,4,2,1,3,2,0
6831,邁科,電腦及週邊設備業,,3,-1.33%,-0.98%,-0.36%,329.26242300381585,315.0,-4.33%,-10.29%,-14.17%,-10.69%,-10.62%,,,,"Hits:1 | Rat:0.6%
[BUY|SW|WR81%|982F元大忠鼎_SW_S, 9B2q元富屏東_SW_M]",,,,,,"Hits:1 | Rat:-2.0%
[SELL|ON|WR86%|980K元大竹科_ON_L, 9B2Z元富安南_ON_S]","Hits:2 | Rat:-0.7%
[SELL|Mix|WR76%|585W統一金門_ON_S, 9B21元富高雄_DT_M]
[BUY|Mix|WR72%|9A9Z永豐復興_ON_M, 9B2c元富烏日_SW_M]","20260224: [BUY|SW|WR81%|982F元大忠鼎_SW_S, 9B2q元富屏東_SW_M]
20260305: [SELL|ON|WR86%|980K元大竹科_ON_L, 9B2Z元富安南_ON_S]
20260306: [SELL|Mix|WR76%|585W統一金門_ON_S, 9B21元富高雄_DT_M]
20260306: [BUY|Mix|WR72%|9A9Z永豐復興_ON_M, 9B2c元富烏日_SW_M]",1,4,1,0,2,3,1
